sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
20,88.21571544827434,106.56784095742795,46.69482570469556,1.3667296654053593,1.0,True,1.0,1.0,410.40553535318713
21,61.09529859690942,14.480561290073428,24.49892824714276,0.7587440930807156,1.0,True,1.0,1.0,31.314595538569442
22,308.362771830824,46.814574716566916,58.38839134171968,0.5457451956515487,1.0,True,1.0,1.0,355.8311340683161
23,297.1279695558787,82.02163385187544,54.12166167272087,0.8348744635803088,1.0,True,1.0,1.0,159.85400186028298
24,131.0771732783476,106.41804931549899,47.811092339056906,1.2720804171142868,1.0,True,1.0,1.0,390.87149166620037
25,22.89462235721171,8.883754042336282,15.705128931858216,0.9984502825683018,1.0,True,1.0,1.0,23.813974032170165
26,63.28059895962444,41.9805508447235,30.66965520498688,1.2104093325046956,1.0,True,1.0,1.0,147.5487971284195
27,5.572611601139654,1.5266483586650452,7.409207118297583,0.8310870798849446,1.0,True,1.0,1.0,2.971536083834647
28,17.276758393742416,6.315914719369803,13.485922063715131,0.9709861845706611,1.0,True,1.0,1.0,16.07058818992243
29,153.32065848612007,20.42553964576928,42.56769242833501,0.4896076006469505,1.0,True,1.0,1.0,219.93126815651038
30,170.65185818209372,86.669953328226,45.96191857492994,1.1133708892163303,1.0,True,1.0,1.0,276.2508828865174
31,232.8624321343801,22.57142487910508,58.21303528388155,0.36987658829597775,1.0,True,1.0,1.0,523.4814220021805
32,45.822043568772564,20.316864627486538,22.920394697598358,1.0573876613659958,1.0,True,1.0,1.0,60.05538478126103
33,35.05903980798431,30.281950565972704,25.375283831917788,1.2890569967585075,1.0,True,1.0,1.0,112.38098343643291
34,50.08518572551402,3.4885250395889336,30.825569620169436,0.2717168195707823,1.0,True,1.0,1.0,167.7275209867655
35,23.01499096734404,7.9632227296533475,15.420924749635713,0.9451024090001158,1.0,True,1.0,1.0,19.165922317352035
36,6.406282437833684,0.3582182637259881,12.145682793450941,0.22004517550051075,1.0,True,1.0,1.0,27.41738131277614
37,79.97546108308157,39.337290485971636,31.163770942426357,1.100556634320968,1.0,True,1.0,1.0,123.42722421982677
38,12.429218533781475,0.6468554081059523,17.480014197798624,0.2052412517259947,1.0,True,1.0,1.0,57.47358983871917
39,61.762509005132756,86.466269677265,41.83976970753807,1.3940849831323476,1.0,True,1.0,1.0,336.2666923531939
40,45.546555410503586,3.2634820539710567,29.04335553797819,0.2791241264004896,1.0,True,1.0,1.0,147.66320997768057
41,75.05413163033604,128.78329489767845,50.79730078318106,1.4261158564754237,1.0,True,1.0,1.0,505.5990671143311
42,128.80051780000773,84.19473586504556,43.5145806101237,1.2055117265842739,1.0,True,1.0,1.0,294.6847913257348
43,48.442485097947994,15.77976675160172,22.180165276012257,0.9162029176219213,1.0,True,1.0,1.0,35.56092545657681
44,185.1103922325267,112.33311451630907,50.77428907673606,1.1800158571003716,1.0,True,1.0,1.0,384.4295285570304
45,168.01856280409652,107.23382038750829,49.2620396623241,1.1974562123372694,1.0,True,1.0,1.0,372.7549157528551
46,22.550377587409184,34.359669008620216,26.311310846659595,1.4081694273304075,1.0,True,1.0,1.0,134.22141147396187
47,34.24067949056278,4.041013627124887,20.858045716163424,0.441056366138887,1.0,True,1.0,1.0,59.00111695843201
48,178.6418216450066,57.58851233708356,42.537252718623655,0.911167839452198,1.0,True,1.0,1.0,128.16186381717543
49,6.987441496909651,0.39059554967992494,12.68638659851204,0.2199801785099066,1.0,True,1.0,1.0,29.912696618274694
50,24.719145302887664,8.59794692914033,15.994951136130958,0.9475960788618462,1.0,True,1.0,1.0,20.79869440464619
51,1.8089782011484603,0.15310540524561198,5.4049248363053035,0.3264342415160367,1.0,True,1.0,1.0,4.862771312201215
52,233.72090182829785,70.12030177501762,48.280840762617615,0.8760863251076654,1.0,True,1.0,1.0,144.9711793480897
53,172.5357950072967,52.87697130375091,41.566797112561765,0.8865302393016593,1.0,True,1.0,1.0,111.62669872241698
54,194.53671484497343,44.22083311531863,43.78409582444843,0.7379044773942676,1.0,True,1.0,1.0,104.21551836057593
55,233.80882122779386,62.268231697223165,47.94009670620824,0.816998083259546,1.0,True,1.0,1.0,120.59182784736532
56,69.02684573095121,38.967449472825614,30.240367654608697,1.1539047336886528,1.0,True,1.0,1.0,130.02084094640543
57,89.99324998195246,58.42587052142609,36.28076577740916,1.2032226091840565,1.0,True,1.0,1.0,204.11370373057798
58,16.408550340452482,4.013220717899228,12.68883489702116,0.7744419854852107,1.0,True,1.0,1.0,8.284619671573441
59,12.514271422067347,4.1468499202902835,11.29915404447854,0.9244568408344098,1.0,True,1.0,1.0,9.575083232881822
60,63.71909589327124,85.94015140439743,41.76216289847594,1.387517536733333,1.0,True,1.0,1.0,333.48557642599997
61,47.45188571828889,3.085360854954923,30.910291337872287,0.2544460901655257,1.0,True,1.0,1.0,171.78139056286693
62,63.82717449091035,4.087594811002874,36.08798585646539,0.2507738858623633,1.0,True,1.0,1.0,235.0162837803468
63,92.00102816222902,4.895871548646798,47.07493715788141,0.20973134592082301,1.0,True,1.0,1.0,415.2016431978678
64,146.83909930896323,57.9102566469711,39.9095076000325,1.00581689075517,1.0,True,1.0,1.0,156.89294010250083
65,124.78745495449076,24.805029893893586,35.44686703618977,0.6717539125973888,1.0,True,1.0,1.0,85.19823472103687
66,93.92165506934434,55.17099234029395,35.756393840997745,1.1684231170301431,1.0,True,1.0,1.0,186.76334583741195
67,42.68499357072706,17.550094237693756,21.717255393443672,1.0244823190037025,1.0,True,1.0,1.0,49.20669314930352
68,4.084829402951504,0.630489446022761,6.694980901236667,0.5531126539437875,1.0,True,1.0,1.0,4.725070662034344
69,37.98304876045406,40.70686664160988,29.01945640777993,1.3416227938983065,1.0,True,1.0,1.0,155.15034468369907
70,21.384515764785544,12.009052859086733,16.802157005074108,1.151962192094478,1.0,True,1.0,1.0,40.026642822825735
71,61.658151761074826,7.733431535106439,27.469075404854987,0.46500449944538613,1.0,True,1.0,1.0,97.09655083722294
72,255.4329079102876,43.29277184241753,51.937169029749136,0.5957744481680401,1.0,True,1.0,1.0,240.5196780039047
73,28.268243989414927,4.105733227877527,17.866671722593743,0.5263074989573308,1.0,True,1.0,1.0,35.33168332045229
74,3.9591604839926156,0.3141497556301121,8.206650792898632,0.30733383923992746,1.0,True,1.0,1.0,11.43151846832006
75,23.679657379013012,1.7898836220487588,20.47611406120981,0.29361097704472666,1.0,True,1.0,1.0,72.17451289812878
76,15.756273284439814,22.09190979915973,21.1476566771676,1.3943469789396659,1.0,True,1.0,1.0,85.9299029027518
77,172.14036186737323,36.15211984830865,41.40540830997923,0.6986958431512341,1.0,True,1.0,1.0,105.27776855517182
78,122.64615198514953,22.00463627695448,35.63676837877031,0.6224819022498731,1.0,True,1.0,1.0,103.28904677645819
79,189.08318094909325,94.29421992065575,48.11440150085274,1.1060999122931887,1.0,True,1.0,1.0,297.85776450535684
