x1_theta,x2_theta_dot,detJ,trJ,sigma_min,sigma_max,cond2,spectral_radius_J,FTLE_T,T_horizon,dt,near_singular
-3.141592653589793,-2.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.26843105635608383,5.0,0.01,False
-3.141592653589793,-1.9,-1.0,0.0,1.0,1.0,1.0,1.0,0.2763076140705636,5.0,0.01,False
-3.141592653589793,-1.8,-1.0,0.0,1.0,1.0,1.0,1.0,0.29226103774899675,5.0,0.01,False
-3.141592653589793,-1.7,-1.0,0.0,1.0,1.0,1.0,1.0,0.31009951991107737,5.0,0.01,False
-3.141592653589793,-1.6,-1.0,0.0,1.0,1.0,1.0,1.0,0.32539703847776236,5.0,0.01,False
-3.141592653589793,-1.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.3372187174356099,5.0,0.01,False
-3.141592653589793,-1.4,-1.0,0.0,1.0,1.0,1.0,1.0,0.34792153376355506,5.0,0.01,False
-3.141592653589793,-1.2999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,0.35885862394828466,5.0,0.01,False
-3.141592653589793,-1.2,-1.0,0.0,1.0,1.0,1.0,1.0,0.3655377338898818,5.0,0.01,False
-3.141592653589793,-1.1,-1.0,0.0,1.0,1.0,1.0,1.0,0.36114787676143734,5.0,0.01,False
-3.141592653589793,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.3424272547272142,5.0,0.01,False
-3.141592653589793,-0.8999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,0.3100548066176936,5.0,0.01,False
-3.141592653589793,-0.7999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,0.26663307267909836,5.0,0.01,False
-3.141592653589793,-0.7,-1.0,0.0,1.0,1.0,1.0,1.0,0.21618480489877157,5.0,0.01,False
-3.141592653589793,-0.5999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,0.16850400883391353,5.0,0.01,False
-3.141592653589793,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.15271328614376536,5.0,0.01,False
-3.141592653589793,-0.3999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,0.20178710533546507,5.0,0.01,False
-3.141592653589793,-0.2999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,0.3031960666700353,5.0,0.01,False
-3.141592653589793,-0.19999999999999996,-1.0,0.0,1.0,1.0,1.0,1.0,0.44906811793410023,5.0,0.01,False
-3.141592653589793,-0.09999999999999987,-1.0,0.0,1.0,1.0,1.0,1.0,0.6593910575445854,5.0,0.01,False
-3.141592653589793,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.9999999999173582,5.0,0.01,False
-3.141592653589793,0.10000000000000009,-1.0,0.0,1.0,1.0,1.0,1.0,0.6593910575445845,5.0,0.01,False
-3.141592653589793,0.20000000000000018,-1.0,0.0,1.0,1.0,1.0,1.0,0.44906811793410023,5.0,0.01,False
-3.141592653589793,0.30000000000000027,-1.0,0.0,1.0,1.0,1.0,1.0,0.303196066670034,5.0,0.01,False
-3.141592653589793,0.40000000000000036,-1.0,0.0,1.0,1.0,1.0,1.0,0.20178710533546368,5.0,0.01,False
-3.141592653589793,0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.1527132861437634,5.0,0.01,False
-3.141592653589793,0.6000000000000001,-1.0,0.0,1.0,1.0,1.0,1.0,0.1685040088339161,5.0,0.01,False
-3.141592653589793,0.7000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,0.2161848048987685,5.0,0.01,False
-3.141592653589793,0.8000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,0.26663307267909525,5.0,0.01,False
-3.141592653589793,0.9000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,0.3100548066176956,5.0,0.01,False
